concat_scientificName	unique_geo
Agabus Agabus kootenai	1
Agabus Agabus minnesotensis	1
Agabus Agabus moestus	1
Agabus Agabus morosus	1
Agabus Agabus oblongulus	1
Agabus Agabus pandurus	1
Agabus Agabus planatus	1
Agabus Agabus punctatus	1
Agabus Agabus smithi	1
Agabus Agabus taeniolatus	1
Agabus Agabus vancouverensis	1
Agabus Agabus vandykei	1
Agabus Agabus walsinghami	1
Agabus apache	1
Agabus canadensis	1
Agabus confinis	1
Agabus falli	1
Agabus perplexus	1
Agabus semipunctatus	1
Agabus subfuscatus	1
Agallia albidula	1
Agallia californica	1
Agallia cinerea	1
Agallia gillettei	1
Agallia lingulata	1
Agalliopsis ancoralis	1
Agalliopsis brunnea	1
Agalliopsis cincta	1
Agalliopsis cinctus Group	1
Agalliopsis decis	1
Agalliopsis exilis	1
Agalliopsis fuscosignata	1
Agalliopsis majesta	1
Agalliopsis novella Complex	1
Agalliopsis saxosa	1
Agalliopsis sonorensis	1
Agalliopsis vellana	1
Agalliota UNKNOWN_NULL	1
Agalmatium bilobum	1
Agapema anona	1
Agapeta zoegana	1
Agapetus Agapetus walkeri	1
Agapetus avitus	1
Agapetus crasmus	1
Agapetus montanus	1
Agapetus rossi	1
Agapostemon californicus	1
Agapostemon coloradensis	1
Agapostemon fasciatus	1
Agapostemon melliventris nr.	1
Agapostemon semimelleus	1
Agaraea semivitrea	1
Agaricomorpha apacheana	1
Agarodes Agarodes sp.	1
Agaronia testacea	1
Agathidium Agathidium sp.	1
Agathidium aristerium	1
Agathidium conjunctum	1
Agathidium difforme	1
Agathidium dubitans	1
Agathidium falcatoperculum	1
Agathidium maculosum	1
Agathis acrobasidis	1
Agathis rubripes	1
Agathis termianta	1
Agathomyia viduella	1
Agathotanais UNKNOWN_NULL	1
Agathymus alliae	1
Agathymus dawsoni	1
Agathymus estelleae	1
Agathymus evansi	1
Agathymus remingtoni	1
Agaue corollata	1
Agelaia areata	1
Agelaia panamaensis	1
Agelenidae UNKNOWN_NULL	1
Ageneotettix brevipennis	1
Ageniella arcuatus	1
Ageniella cupida	1
Ageniella incita	1
Ageniella partita	1
Ageniella vogeli	1
Agenioideus humilis	1
Agkistrocerus megerlei	1
Agkistrocerus UNKNOWN_NULL	1
Aglaostigma rubens	1
Aglaostigma veedee	1
Aglaothorax ovata	1
Aglossa Aglossa cuprina	1
Aglossa cacamica	1
Aglossa disciferalis	1
Agnetina annulipes	1
Agnetina capitata complex	1
Agnetina UNKNOWN_NULL	1
Agnippe Agnippe prunifoliella	1
Agolambrus agona	1
Agoliinus albertanus	1
Agoliinus aleutus	1
Agoliinus anthracinus	1
Agoliinus anthracus	1
Agoliinus ashworthi	1
Agonocryptus chichimecus	1
Agonoderus obliqulus	1
Agonoderus pallipes	1
Agonopterix Agonopterix arnicella	1
Agonopterix ciliella	1
Agonopterix eupatoriiella	1
Agonopterix lecontella	1
Agonopterix nigrinotella	1
Agonopterix oregonensis	1
Agonopterix sabulella	1
Agonopterix sp. undet. 1	1
Agonopterix thelmae	1
Agonopterix walsinghamella	1
Agonum Agonum belleri	1
Agonum Agonum dilutipenne	1
Agonum Agonum falligum	1
Agonum Agonum quadrimaculatum	1
Agonum Agonum quadripunctatum	1
Agonum Agonum suturale	1
Agonum californicum	1
Agonum canadense	1
Agonum cupripennis	1
Agonum deceptivum	1
Agonum decora	1
Agonum deplanatum	1
Agonum deserta	1
Agonum exitum	1
Agonum ferroginosum	1
Agonum funebre	1
Agonum melanarius	1
Agonum picicornoides	1
Agonum quadrimaculatum	1
Agonum sp1	1
Agonum sphodroides	1
Agonum suterale	1
Agonum varichilis	1
Agostocaris bozanici	1
Agouvm placida	1
Agra chamela	1
Agrapha Agrapha oxygramma	1
Agrapha oxygramma	1
Agraulis vallinae	1
Agraylea Agraylea multipunctata	1
Agraylea Agraylea sp.	1
Agraylea costella	1
Agria housei	1
Agriades franklinii	1
Agriades UNKNOWN_NULL	1
Agrias aedon	1
Agrilaxia flavimana	1
Agrilis UNKNOWN_NULL	1
Agrilus Agrilus malvastri	1
Agrilus amelanchieri	1
Agrilus auricomus	1
Agrilus blandus	1
Agrilus cephalicus	1
Agrilus cerinoguttatus	1
Agrilus cordata	1
Agrilus coxalis	1
Agrilus crataegi	1
Agrilus demissus	1
Agrilus hilaris	1
Agrilus imbellis	1
Agrilus ixcuinae	1
Agrilus laetus	1
Agrilus major	1
Agrilus nigripennis	1
Agrilus palmacollis	1
Agrilus parvus	1
Agrilus pensus	1
Agrilus putillus	1
Agrilus rubroniger	1
Agrilus transimpressus	1
Agrion UNKNOWN_NULL	1
Agriopodes Agriopodes geminata	1
Agriopodes Agriopodes tybo	1
Agriopodes geminata	1
Agriopodes UNKNOWN_NULL	1
Agriotes ? UNKNOWN_NULL	1
Agriotes avulsus	1
Agriotes collaris	1
Agriotes fucosus	1
Agriotes limosus	1
Agriotes oblongicollis	1
Agriotes quadrivittatus	1
Agriotes stabilis	1
Agriphila Agriphila attenuata	1
Agriphila angulatus	1
Agriphila attenuatus	1
Agriphila straminella	1
Agriphila vulvivagella	1
Agrochrysis trochilus	1
Agroeca emertoni	1
Agroeca repens	1
Agroeca trivittata	1
Agromyza bispinata	1
Agromyza diversa	1
Agromyza frontella	1
Agromyza marmorensis	1
Agromyza nigripes	1
Agromyza potentillae	1
Agromyzidae unk.	1
Agrosoma decepta	1
Agrosoma glyphalis	1
Agrothereutes lophyri	1
Agrothereutes mandator	1
Agrothrips Agrothrips dimidiatus	1
Agrothrips Agrothrips nr. dimidiatus	1
Agrothrips Agrothrips tenebricosus	1
Agrotis Agrotis patula	1
Agrotis arenarius	1
Agrotis catenula	1
Agrotis ceramophaea	1
Agrotis charmocrita	1
Agrotis daedalus	1
Agrotis melanoneura	1
Agrotis obeliscoides	1
Agrotis rileyana	1
Agrotis sp. undet 1	1
Agrotis species undetermined	1
Agrotis stigmosa	1
Agrotisia UNKNOWN_NULL	1
Agrypnia Agrypnia macdunnoughi	1
Agrypnia Agrypnia vestita	1
Agrypnia obsoleta	1
Agrypnus suillus	1
Agrypnus triplehornorum	1
Agrypnus tuspanensis	1
Agrypon Agrypon anale	1
Agrypon Agrypon prismaticum	1
Agrypon despressum	1
Agrypon dioryctriae	1
Agrypon n.sp.3	1
Agrypon varitarsum	1
Agylla sericea	1
Agyneta Agyneta fabra	1
Agyneta Agyneta sp. 1	1
Agyneta bueko	1
Agyneta cauta	1
Agyneta evadens	1
Agyneta floridana	1
Agyneta lophophor	1
Agyneta maritima	1
Agyneta mollis	1
Agyneta picta	1
Agyneta pseudosaxatilis	1
Agyneta subtilis	1
Ahasverus UNKNOWN_NULL	1
Aibio albipennis	1
Aichneumon UNKNOWN_NULL	1
Aidemona aztecus	1
Airamia albiocula	1
Akalyptoischion atrichos	1
Akalyptoischion sp1	1
Akemetopon ainigma	1
Akephorus UNKNOWN_NULL	1
Aknisus UNKNOWN_NULL	1
Ala UNKNOWN_NULL	1
Alabagrus stigma	1
Alachua UNKNOWN_NULL	1
Alaephus macilentus	1
Alaephus maderensis	1
Alaephus pallipes	1
Alaetrinus aciculatus	1
Alandes sp1	1
Alaocybites californica	1
Alaocybites rothi	1
Alapus UNKNOWN_NULL	1
Alaria mustelae	1
Alaruasa violacea	1
Alasmidonta viridis	1
Alastria Alastria chico	1
Alastria UNKNOWN_NULL	1
Alatysenta discistriga	1
Alaudes fallax	1
Alaudes n. sp. 2	1
Alaudes squamosa	1
Alaudes squomosa	1
Alaudes UNKNOWN_NULL	1
Alaus calcaripilosus	1
Alaus oculatus UNKNOWN_NULL	1
Alberada parabates	1
Alberada sp. undet. 1	1
Albibarbefferia armatus	1
Albibarbefferia zonata	1
Albionella fabricii	1
Albiotix UNKNOWN_NULL	1
Albunea UNKNOWN_NULL	1
Alcaeorrhynchus phymatophorus	1
