InstitutionCode	family	count(*)
UNM	Oecobiidae	10
MSU	Oecophoridae	12
OSU	Oedemeridae	201
USNM	Oedicerotidae	6
USNM	OedicerotidaeÂ 	1
iNaturalist	Oestridae	2
USNM	Ogyrididae	4
USNM	Oithonidae	1
INHS	Oligoneuriidae	1
iNaturalist	Oligotomidae	1
OMNH	Olividae	5
MCZ	Olpiidae	5
USNM	Oncaeidae	7
INHS	Oncopoduridae	7
USNM	Oniscidae	5
INHS	Onychiuridae	2
DMNS	Oonopidae	176
MCZ	Oplophoridae	9
USNM	Opostegidae	4
OSU	Ormyridae	1
CSCA	Ortheziidae	11
UMNH	Orthoptera	25
MCZ	Oryidae	4
TTU	Ostomatidae	7
MCZ	Ostomidae	1
MCZ	Otitidae	3
TAMU	Oxaeidae	17
TAMU	Oxycarenidae	41
USNM	Oxycephalidae	11
USNM	Oxynaspididae	1
NMSU	Oxyopidae	317
TAMU	Pachygronthidae	217
USNM	Pachymeridae	7
iNaturalist	Paguridae	136
MCZ	Palaemonidae	172
USNM	Palicidae	10
iNaturalist	Palinuridae	69
OSU	Pamphiliidae	2
MCZ	Pandalidae	19
USNM	Pandaridae	19
USNM	Panorpidae	4
KU	Panorpodidae	4
MSU	Pantheidae	1
NMSU	Papilionidae	2208
USNM	Paracalanidae	2
USNM	Paracytherideidae	1
UNM	Paradoxosomatidae	14
MCZ	Paraiulidae	8
UNM	Parajulidae	35
USNM	Paranthuridae	19
USNM	Parapaguridae	17
USNM	Paraphronimidae	5
USNM	Parapseudidae	2
USNM	Parascelidae	1
USNM	Parasquillidae	4
USNM	Parastacidae	1
USNM	Parastenocarididae	1
iNaturalist	Paratropididae	1
USNM	Pardaliscidae	2
USNM	Parkiidae	1
INHS	Paronellidae	20
MCZ	Parthenopidae	11
MCZ	Pasiphaeidae	3
UNM	Passalidae	232
OMNH	Patellidae	2
OMNH	Pectinidae	5
iNaturalist	Pediculidae	1
OSU	Pelecinidae	14
USNM	Peltidiidae	1
MCZ	Penaeidae	493
USNM	Pennellidae	9
NMSU	Pentatomidae	7810
OSU	Pergidae	103
OSU	Perilampidae	7
USNM	Periscelididae	3
KU	Perlidae	51
INHS	Perlodidae	1
USNM	Phaennidae	4
KU	Phalacridae	58
MCZ	Phalangiidae	21
MCZ	Phalangodidae	2
UMNH	Phasmatidae	3
OSU	Phengodidae	69
USNM	Philichthyidae	17
UNM	Philodromidae	23
USNM	Philomedidae	1
FMNH	Philopotamidae	471
FMNH	Philopteridae	203
USNM	Philosciidae	5
NMSU	Phlaeothripidae	758
USNM	Phliantidae	6
USNM	Phoenicococcidae	1
DMNS	Pholcidae	473
LACM	Phoridae	1231
USNM	Photidae	24
USNM	Phoxichilidiidae	12
USNM	Phoxocephalidae	10
USNM	Phronimidae	45
USNM	Phrosinidae	13
FMNH	Phrurolithidae	125
DMNS	Phrynidae	43
USNM	Phyllopodidae	1
USNM	Phymatidae	1
TTU	Physalopteridae	7
MCZ	Phytoseiidae	31
NMSU	Pieridae	2391
TAMU	Piesmatidae	241
USNM	Pilumnidae	7
USNM	Pilumnoididae	1
UHIM	Pinaceae	10
OMNH	Pinnidae	2
MCZ	Pinnotheridae	61
UNM	Pisauridae	46
TTU	Plagiorchiidae	1
USNM	Platyarthridae	1
FMNH	Platydesmidae	27
OSU	Platygastridae	6451
USNM	Platyischnopidae	1
USNM	Platylepadidae	1
FMNH	Platyrhacidae	14
USNM	Platyscelidae	9
EMEC	Platystictidae	255
USNM	Platystomatidae	1
DMNS	Plectreuridae	27
KU	Pleidae	71
NMSU	Pleocomidae	1
TTU	Pleotomus pallens	1
USNM	Pleustidae	1
iNaturalist	Plutellidae	1
USNM	Podoceridae	16
UA	Podoscirtidae	1
USNM	Poecilasmatidae	1
