cnt	max(occid)	catalogNumber
3	32313503	10BBCFO-0350
3	32311115	10BBCFO-0351
3	32312661	10BBCFO-0352
3	32316101	10BBCFO-0354
3	32313722	10BBCFO-0355
3	32313965	10BBCFO-0356
3	32313192	10BBCFO-0357
3	32310651	10BBCFO-0359
3	32313504	10BBCFO-0360
3	32313505	10BBCFO-0361
3	32313040	10BBCFO-0363
3	32313041	10BBCFO-0364
3	32311116	10BBCFO-0365
3	32311117	10BBCFO-0366
3	32313193	10BBCFO-0367
3	32313194	10BBCFO-0368
3	32311669	10BBCFO-0370
3	32311670	10BBCFO-0371
3	32258105	10BBCHEM-0059
3	32278535	10BBCHEM-0076
3	32258597	10BBCHEM-0084
3	32266751	10BBCHEM-0088
3	32266752	10BBCHEM-0089
3	32266753	10BBCHEM-0090
3	32266754	10BBCHEM-0091
3	32266755	10BBCHEM-0092
3	32266756	10BBCHEM-0093
3	32266757	10BBCHEM-0094
3	32266758	10BBCHEM-0095
3	32266005	10BBCHEM-0096
3	32266759	10BBCHEM-0097
3	32266760	10BBCHEM-0098
3	32266761	10BBCHEM-0099
3	32266762	10BBCHEM-0100
3	32258598	10BBCHEM-0102
3	32258599	10BBCHEM-0118
3	32254292	10BBCHEM-0134
3	32254293	10BBCHEM-0135
3	32258106	10BBCHEM-0137
3	32274761	10BBCHEM-0138
3	32274762	10BBCHEM-0139
3	32258107	10BBCHEM-0141
3	32266764	10BBCHEM-0147
3	32257925	10BBCHEM-0148
3	32266765	10BBCHEM-0149
3	32278181	10BBCHEM-0150
3	32258108	10BBCHEM-0154
3	32266766	10BBCHEM-0176
3	32275706	10BBCHEM-0180
3	32275707	10BBCHEM-0181
3	32281216	10BBCHEM-0188
3	32254294	10BBCHEM-0192
3	32254296	10BBCHEM-0200
3	32254297	10BBCHEM-0201
3	32254298	10BBCHEM-0202
3	32264204	10BBCHEM-0213
3	32264465	10BBCHEM-0215
3	32258600	10BBCHEM-0229
3	32266769	10BBCHEM-0231
3	32266770	10BBCHEM-0232
3	32254299	10BBCHEM-0234
3	32264205	10BBCHEM-0236
3	32278536	10BBCHEM-0248
3	32254300	10BBCHEM-0260
3	32254301	10BBCHEM-0262
3	32266771	10BBCHEM-0292
3	32264466	10BBCHEM-0323
3	32250226	10BBCHEM-0332
3	32264131	10BBCHEM-0340
3	32254302	10BBCHEM-0342
3	32249602	10BBCHEM-0346
3	32258109	10BBCHEM-0350
3	32264133	10BBCHEM-0354
3	32264134	10BBCHEM-0360
3	32278672	10BBCHEM-0363
3	32281647	10BBCHEM-0367
3	32281648	10BBCHEM-0368
3	32281649	10BBCHEM-0369
3	32281650	10BBCHEM-0370
3	32254304	10BBCHEM-0371
3	32254305	10BBCHEM-0372
3	32254306	10BBCHEM-0373
3	32254307	10BBCHEM-0378
3	32278673	10BBCHEM-0389
3	32254308	10BBCHEM-0396
3	32264135	10BBCHEM-0407
3	32254309	10BBCHEM-0517
3	32254310	10BBCHEM-0519
3	32280191	10BBCHEM-0523
3	32254314	10BBCHEM-0538
3	32254315	10BBCHEM-0540
3	32250227	10BBCHEM-0541
3	32257647	10BBCHEM-0543
3	32266791	10BBCHEM-0556
3	32250228	10BBCHEM-0561
3	32254316	10BBCHEM-0568
3	32250229	10BBCHEM-0572
3	32250230	10BBCHEM-0573
3	32265138	10BBCHEM-0581
3	32265139	10BBCHEM-0582
3	32254317	10BBCHEM-0585
3	32254318	10BBCHEM-0587
3	32254319	10BBCHEM-0589
3	32259670	10BBCHEM-0704
3	32259671	10BBCHEM-0705
3	32257490	10BBCHEM-0709
3	32259211	10BBCHEM-0712
3	32258601	10BBCHEM-0713
3	32278677	10BBCHEM-0721
3	32278678	10BBCHEM-0724
3	32278679	10BBCHEM-0731
3	32278680	10BBCHEM-0733
3	32278681	10BBCHEM-0734
3	32278682	10BBCHEM-0735
3	32266798	10BBCHEM-0742
3	32259672	10BBCHEM-0744
3	32254322	10BBCHEM-0757
3	32258110	10BBCHEM-0759
3	32254067	10BBCHEM-0790
3	32254324	10BBCHEM-0791
3	32254068	10BBCHEM-0792
3	32254069	10BBCHEM-0793
3	32492768	10BBCHEM-0802
3	32254327	10BBCHEM-0819
3	32258111	10BBCHEM-0821
3	32264450	10BBCHEM-0824
3	32264468	10BBCHEM-0826
3	32275049	10BBCHEM-0829
3	32254328	10BBCHEM-0839
3	32254329	10BBCHEM-0841
3	32264470	10BBCHEM-0845
3	32254330	10BBCHEM-0846
3	32254331	10BBCHEM-0847
