InstitutionCode	family	count(*)
USNM	Calanidae	19
MCZ	Calappidae	13
USNM	Calappidae	6
USNM	Caligidae	91
TAMU	Caliscelidae	4
UCR	Caliscelidae	1
MCZ	Callianassidae	2
USNM	Callianassidae	41
USNM	Callianideidae	12
USNM	Callipallenidae	10
iNaturalist	Calliphoridae	8
NMSU	Calliphoridae	5
OSU	Calliphoridae	11
TTU	Calliphoridae	14
USNM	Calliphoridae	1
KU	Callirhipidae	9
USNM	Calocarididae	1
EMEC	Calophyidae	18
CAS	Calopterygidae	10
EMEC	Calopterygidae	110
FMNH	Calopterygidae	7
iNaturalist	Calopterygidae	73
INHS	Calopterygidae	3
NMSU	Calopterygidae	1
OSU	Calopterygidae	2
SBMNH	Calopterygidae	3
SDNHM	Calopterygidae	1
USNM	Calopterygidae	591
YPM	Calopterygidae	65
OMNH	Calyptraeidae	1
USNM	Cambalidae	4
iNaturalist	Cambaridae	24
MCZ	Cambaridae	21
USNM	Cambaridae	406
FMNH	Campodeidae	1
USNM	Canacidae	1
MCZ	Cancridae	1
USNM	Cancridae	1
USNM	Candaciidae	1
USNM	Candonidae	2
MCZ	Canestriniidae	1
iNaturalist	Cantharidae	28
KU	Cantharidae	60
NMSU	Cantharidae	27
OSU	Cantharidae	55
TTU	Cantharidae	128
USNM	Cantharidae	5
USNM	Canthocamptidae	10
iNaturalist	Caponiidae	1
MCZ	Caponiidae	13
UNM	Caponiidae	1
USNM	Caprellidae	2
ASU	Carabidae	19
BYU	Carabidae	381
CAS	Carabidae	109
CSU	Carabidae	63
DMNS	Carabidae	7
EMEC	Carabidae	543
FMNH	Carabidae	17
iNaturalist	Carabidae	31
KU	Carabidae	833
MCZ	Carabidae	141
NAUF	Carabidae	143
NMSU	Carabidae	99
OMNH	Carabidae	3
OSU	Carabidae	1099
SBMNH	Carabidae	1
TAMU	Carabidae	2764
TTU	Carabidae	125
UA	Carabidae	1104
UAM	Carabidae	59114
UCBME	Carabidae	1
UCM	Carabidae	9
UMNH	Carabidae	15
UNM	Carabidae	374
USNM	Carabidae	243
YPM	Carabidae	39
iNaturalist	Caraboctonidae	9
OMNH	Cardiidae	5
OMNH	Carditidae	1
OMNH	Cassidae	2
FMNH	Castniidae	4
iNaturalist	Castniidae	2
USNM	Cecidomyiidae	1
USNM	Centropagidae	4
ASU	Cerambycidae	128
DMNS	Cerambycidae	1
EMEC	Cerambycidae	219
iNaturalist	Cerambycidae	196
INHS	Cerambycidae	3
KU	Cerambycidae	159
MCZ	Cerambycidae	16
NMSU	Cerambycidae	2
OSU	Cerambycidae	40
PU	Cerambycidae	5
TTU	Cerambycidae	120
UA	Cerambycidae	33
UHIM	Cerambycidae	8
UMNH	Cerambycidae	1
UNM	Cerambycidae	41
USNM	Cerambycidae	82
INHS	Ceraphronidae	2
OSU	Ceraphronidae	217
USNM	Ceraphronidae	2
AMNH	Ceratocombidae	2
FMNH	Ceratocombidae	50
MSU	Ceratophyllida	1
MSU	Ceratophyllidae	11
USNM	Ceratophyllidae	5
KU	Ceratopogonidae	111
USNM	Ceratopogonidae	35
AMNH	Cercopidae	871
iNaturalist	Cercopidae	23
INHS	Cercopidae	37
NCSU	Cercopidae	13
OSU	Cercopidae	33
TAMU	Cercopidae	678
UCR	Cercopidae	37
CSCA	Cerococcidae	2
USNM	Cerococcidae	3
KU	Cerylonidae	227
MCZ	Cerylonidae	178
OSU	Cerylonidae	2
EMEC	Cetoniidae	1
TTU	Cetoniidae	1
DMNS	Chactidae	10
MCZ	Chactidae	13
USNM	Chactidae	1
ANSP	Chalcididae	27
iNaturalist	Chalcididae	3
INHS	Chalcididae	3
MSU	Chalcididae	2
NMSU	Chalcididae	55
OSU	Chalcididae	14
USNM	Chalcididae	5
USNM	Chalcidoidea	5
TTU	Chaodoridae	1
USNM	Chasmocarcinidae	1
MCZ	Cheliferidae	8
FMNH	Chelodesmidae	5
MCZ	Chelodesmidae	12
USNM	Chelodesmidae	2
KU	Chelonariidae	9
TTU	Chelonariidae	4
MCZ	Chelonibiidae	1
USNM	Chelonibiidae	15
MCZ	Chernetidae	13
MCZ	Cheyletidae	5
USNM	Cheyletidae	1
USNM	Chilenophilidae	4
iNaturalist	Chironomidae	2
KU	Chironomidae	12
OSU	Chironomidae	2
TTU	Chironomidae	1
UHIM	Chironomidae	6
USNM	Chirostylidae	5
iNaturalist	Chloropidae	1
USNM	Chloropidae	2
USNM	Choreutidae	3
EMEC	Chrysididae	220
iNaturalist	Chrysididae	1
INHS	Chrysididae	2
KU	Chrysididae	1
MCZ	Chrysididae	1
MSU	Chrysididae	9
USNM	Chrysididae	3
ASU	Chrysomelidae	134
EMEC	Chrysomelidae	219
iNaturalist	Chrysomelidae	316
INHS	Chrysomelidae	4
KU	Chrysomelidae	1121
MCZ	Chrysomelidae	39
NAUF	Chrysomelidae	6
NMSU	Chrysomelidae	80
OMNH	Chrysomelidae	3
OSU	Chrysomelidae	805
TTU	Chrysomelidae	119
UCM	Chrysomelidae	6
UNM	Chrysomelidae	277
USNM	Chrysomelidae	43
EMEC	Chrysopidae	1
iNaturalist	Chrysopidae	1
INHS	Chrysopidae	38
MCZ	Chrysopidae	1
NMSU	Chrysopidae	3
OSU	Chrysopidae	60
UNM	Chrysopidae	1
USNM	Chrysopidae	5
USNM	Chthamalidae	16
MCZ	Chthoniidae	7
NMSU	Chyphotidae	1
AMNH	Cicadellidae	960
CMNH	Cicadellidae	6
EMEC	Cicadellidae	2
iNaturalist	Cicadellidae	40
INHS	Cicadellidae	254
MCZ	Cicadellidae	1
NCSU	Cicadellidae	328
NMSU	Cicadellidae	12
OSAC	Cicadellidae	1256
OSU	Cicadellidae	19392
TAMU	Cicadellidae	3604
TTU	Cicadellidae	5
UCR	Cicadellidae	256
UK	Cicadellidae	7202
UNM	Cicadellidae	1
USNM	Cicadellidae	81
AMNH	Cicadidae	240
CSUC	Cicadidae	14
CUIC	Cicadidae	11
iNaturalist	Cicadidae	3
INHS	Cicadidae	3
KU	Cicadidae	14
NCSU	Cicadidae	1
NMSU	Cicadidae	3
OSU	Cicadidae	8
SIIS	Cicadidae	1232
TAMU	Cicadidae	178
UCR	Cicadidae	2
UMNH	Cicadidae	27
UNM	Cicadidae	1
USNM	Cicadidae	2
KU	Ciidae	98
MCZ	Ciidae	37
NMSU	Ciidae	1
TAMU	Ciidae	2
EMEC	Cimicidae	5
iNaturalist	Cimicidae	3
UCB	Cimicidae	105
USNM	Cimicidae	2
USNM	Circocyllibanidae	1
MCZ	Cirolanidae	1
USNM	Cirolanidae	180
AMNH	Cixiidae	7
iNaturalist	Cixiidae	4
OSAC	Cixiidae	6
OSU	Cixiidae	4
TAMU	Cixiidae	956
UCR	Cixiidae	12
UDCC	Cixiidae	14
UK	Cixiidae	1
USNM	Cixiidae	6
KU	Clambidae	29
MCZ	Clambidae	40
AMNH	Clastopteridae	21
iNaturalist	Clastopteridae	2
INHS	Clastopteridae	3
TAMU	Clastopteridae	1
UCR	Clastopteridae	17
UDCC	Clastopteridae	1
USNM	Clastopteridae	1
USNM	Clausidiidae	5
USNM	Clausiidae	1
USNM	Clausocalanidae	2
FMNH	Cleidogonidae	14
MCZ	Cleidogonidae	49
USNM	Cleidogonidae	7
ASU	Cleridae	1
EMEC	Cleridae	4
iNaturalist	Cleridae	3
INHS	Cleridae	2
KU	Cleridae	129
MCZ	Cleridae	5
NMSU	Cleridae	1
