scientificName	unique_geo
Acanthoscelides oblongoguttatus (FÃ¥hraeus, 1839)	1
Acanthoscelides obrienorum Johnson	1
Acanthoscelides obsoletus (Say, 1831)	1
Acanthoscelides obtectus	1
Acanthoscelides pallidipennis (Motschulsky, 1874)	1
Acanthoscelides pauperculus (J. L. LeConte, 1857)	1
Acanthoscelides pedicularius (Sharp, 1885)	1
Acanthoscelides perforatus	1
Acanthoscelides pertinax (Sharp, 1885)	1
Acanthoscelides puellus (Sharp, 1885)	1
Acanthoscelides pullus (Fall, 1910)	1
Acanthoscelides Schilsky, 1905	2
Acanthoscelides schrankiae (Horn)	1
Acanthoscelides tenuis	1
Acanthoscelides tepic Johnson, 1983	1
Acanthoscelides triumfettae Kingsolver, 1980	1
Acanthoscelides zeteki Kingsolver, 1969	1
Acanthoscelidius acephalus	1
Acanthoscelidius acephalus (Say, 1824)	1
Acanthoscelidius curtus	1
Acanthoscelidius curtus (Say, 1832)	1
Acanthoscelidius mendicus Dietz , 1896	1
Acanthoscelidius perplexus Dietz , 1896	1
Acanthoscelidius sp.	1
Acanthoscelidius tarsalis Dietz , 1896	1
Acanthosomatidae	1
Acanthostepheia malmgreni (GoÃ«s, 1866)	2
acanthostichus arizonensis	1
Acanthostichus brevicornis Emery, 1894	1
acanthostichus davisi	2
Acanthostichus Mayr, 1887	1
acanthostichus punctiscapus	2
Acanthostichus punctiscapus MacKay, 1996	1
acanthostichus quirozi	1
acanthostichus texanus	1
Acanthostichus texanus Forel, 1904	1
Acanthostomum	2
Acanthotelson stimpsoni Brooks, 1962	1
Acari unk.	1
Acaridae	3
Acarina Baraud, 1965	6
Acaris columnaris	2
Acartauchenius Simon, 1884	1
Acartia clausi Giesbrecht, 1889	4
Acartia clausii Giesbrecht, 1889	1
Acartia Dana, 1846	23
Acartia danae Giesbrecht, 1889	1
Acartia hudsonica Pinhey, 1926	5
Acartia longiremis (Lilljeborg, 1853)	29
Acartia tonsa Dana, 1849	15
Acartia tumida Willey, 1920	10
Acartophthalmus Czerny, 1902	6
Acartophthalmus nigrinus (Zetterstedt, 1848)	12
Acasis viridata	1
Acasis viridata Packard, 1873	7
Accalathura Barnard, 1925	2
Accalathura crenulata (Richardson, 1901)	39
Accalathura setosa Kensley, 1984	3
accordella	1
Acemya oestriforme (Brauer and Bergenstamm, 1891)	2
Acemya Robineau-Desvoidy, 1830	4
Acemya tibialis	1
Acemya tibialis (Coquillett, 1897)	3
Acentrella barbarae Jacobus & McCafferty, 2006	1
Acentrella feropagus Alba-Tercedor & McCafferty, 2000	7
Acentrella insignificans	3
Acentrella insignificans (McDunnough, 1926)	2
Acentrella lapponica Bengtsson, 1912	4
Acentrella nadineae McCafferty, Waltz & Webb, 2009	2
Acentrella parvula (McDunnough, 1932)	6
Acentrella turbida	1
Acentrella turbida (McDunnough, 1924)	11
Acentria ephemerella	1
Acentria ephemerella (Denis & SchiffermÃ¼ller, 1775)	1
acera	1
Aceraius Kaup in Harold, 1868	1
Acerastes pertinax	1
Aceratagalia lyrata (Baker)	1
Aceratagallia	1
Aceratagallia gillettei (Osborn and Ball)	1
Aceratagallia Kirkaldy, 1907	1
Aceratagallia lyrata (Baker)	1
Aceratagallia sanguineolenta	1
Aceratagallia sanguinolentus (Provancher)	4
Aceratagallia sp.	3
Aceratagallia uhleri (Van Duzee)	13
Aceratophallus maya Loomis, 1964	1
acerba	1
aceriella (or sp nr)	1
Acerocephala atroviolacea Crawford	1
Acerocnema Becker, 1894	1
Aceroides latipes (G. O. Sars, 1882)	3
Aceroteta Kozlov & Masner, 1977	1
Acerpenna macdunnoughi (Ide, 1937)	13
Acerpenna pygmaea	30
Acerpenna pygmaea (Hagen, 1861)	13
Acerra normalis Grote, 1894	4
acertella	1
Acetes americanus Ortmann, 1893	3
Acetes americanus subsp. carolinae Hansen, 1933	9
Achaearanea canionis	2
Achaearanea canionis (Chamberlin and Gertsch)	1
Achaearanea globosa	1
Achaearanea globosa (Hentz, 1850)	3
Achaearanea porteri	6
Achaearanea porteri (Banks, 1896)	1
Achaearanea rupicola	2
Achaearanea serenoae (Gertsch & Archer)	1
Achaearanea simulans (Thorell, 1875)	1
Achaearanea Strand, 1929	4
Achaearanea tabulata Levi, 1980	17
Achaearanea tepidariorum	6
Achaearanea tepidariorum (C. L. Koch)	3
Achaearanea tepidariorum (C.L. Koch, 1841)	6
Achaearanea tepidariorum (Cook, 1841)	4
Achaearanea tesselata	1
Achaearanea tesselata (Keyserling, 1884)	1
Achalarus albociliatus	1
Achalarus albociliatus Mabille, 1877	1
Achalarus casica	1
Achalarus casica tehuacana	1
Achalarus lyciades	1
Achalarus lyciades HÃ¼bner, 1819	1
Achalarus toxeus	1
Achalcus dytei Pollet & Cumming, 1998	1
Acharia HÃ¼bner, 1819	1
Acharia stimulea	1
Achatia distincta	1
Achatia distincta HÃ¼bner, 1813	5
Achatodes zeae	1
Achatodes zeae (Harris, 1841)	1
Achatodes zeae Harris, 1841	5
Achelia alaskensis (Cole, L.J., 1904)	2
Achelia echinata Hodge, G., 1864	3
Achelia Hodge, 1864	1
Achelia sawayai Marcus, E., 1940	41
Achelia scabra Wilson, E.B., 1880	1
Achelia spinosa Wilson, E.B., 1878	2
achemon	1
achemonalis	1
Achenomorphus corticinus	34
Achenomorphus Motschulsky, 1858	1
Achenomorphus spp. ??	1
acheron	1
Acheta domestica	2
Acheta domesticus	1
Acheta sp.	10
Achilidae	3
Achipteria (Achipteria) coleoptrata (Linnaeus, 1758)	6
Achipteria Berlese, 1885	1
Achipteriidae	9
Achlyodes busirus Stoll, 1782	1
Achlyodes pallida	1
achlyognoma?	1
Achlysopsis	1
Acholla multispinosa (De Geer, 1773)	3
Achorotile (Criochora) subarctica Scudder, 1963	1
Achorotile Fieber, 1866	1
Achradocera arcuata Van Duzee, 1924	1
Achradocera Becker, 1922	2
Achroia grisella	1
Achroia HÃ¼bner, 1819	2
Achrysocharoides cilla (Walker, 1839)	1
Achrysocharoides Girault, 1913	1
Achryson surinamum (LinnÃ©, 1767)	1
Achurum carinatum (Walker, F., 1870)	1
Achurum minimipenne	1
Achurum sumichrasti	6
Achurum sumichrasti (Saussure)	3
Achyra rantalis	4
Achyra rantalis (Guenee)	2
Achyra rantalis GuenÃ©e, 1854	4
Achyra sp.	1
Acidalia	1
Acidalia cacuminata Morrison	1
Acidalia compensata Walker	1
Acidalia enucleata Guenée	1
Acidalia floridata	1
Acidalia frigidaria Moschler	1
Acidalia hepaticaria Guenée	1
Acidalia inductata Guenée	1
Acidalia insulsaria Guenée	1
Acidalia lutestata	1
Acidalia magnetaria Guenée	1
Acidalia nivosaria Guenée	1
Acidalia ordinata Walker	1
Acidalia ossularia Hübner	1
Acidalia peralbata Packard	1
Acidalia perirrorata Packard	1
Acidalia plantaginaria	1
Acidalia punctofinbriata Packard	1
Acidalia quinquelinearia Packard	1
Acidalia rubromarginaria Packard	1
Acidalia sentinara Hübner	1
Acidalia sideraria Guenée	1
Acidalia sideraria var. pacificaria Packard	1
Acidalia sinuata Packard	1
Acidota crenata	1
Acidota crenata Fabricius,1793	1
Acidota quadrata Zetterstedt,1838	2
Acidota spp.	1
Acidota subcarinata Erichson, 1840	1
Acilius	18
Acilius (Acilius) abbreviatus AubÃ©, 1838	1
Acilius (Acilius) canaliculatus (Nicolai, 1822)	1
Acilius (Acilius) fraternus (Harris, 1828)	1
Acilius (Acilius) mediatus (Say, 1823)	1
Acilius (Acilius) semisulcatus AubÃ©, 1838	1
Acilius (Acilius) sylvanus Hilsenhoff, 1975	1
Acilius abbreviatus Mannerheim	2
Acilius Acilius abbreviatus	1
Acilius Acilius fraternus	2
Acilius Acilius sylvanus	1
Acilius fraternus Harris	1
Acilius Homoeolytrus mediatus	2
Acilius Leach, 1817	2
Acilius mediatus	1
Acilius semisulcatus	4
Acilius sylvanus	1
Acinia picturata (Snow, 1894)	1
Acinopterus angulatus	1
Acinopterus angulatus Lawson 1922	1
Acinopterus sp.	1
Aciurina bigeloviae (Cockerell, 1890)	1
Aciurina ferruginea (Doane, 1899)	1
Aclastus F??rster, 1869	4
Aclastus FÃ¶rster, 1869	5
Aclastus gracilis (Thomson, 1884)	7
Aclastus micator	1
Aclastus solutus (Thomson, 1884)	7
Aclastus spp.	1
Acleris albicomana Clemens, 1865	4
Acleris arcticana	1
Acleris bowmanana	1
Acleris britannia Kearfott, 1904	9
Acleris busckana	1
Acleris busckana McDunnough, 1934	2
Acleris caliginosana	1
Acleris caliginosana Walker, 1863	1
Acleris celiana	1
Acleris celiana Robinson, 1869	1
Acleris cervinana Fernald, 1882	5
Acleris chalybeana	1
Acleris chalybeana Fernald, 1882	4
Acleris clarkei	1
Acleris comariana Lienig & Zeller, 1846	2
Acleris cornana	1
Acleris cornana McDunnough, 1933	3
Acleris curvalana Kearfott, 1907	8
Acleris emargana Fabricius, 1775	5
Acleris flavivittana	1
Acleris flavivittana Clemens, 1864	1
Acleris forbesana	1
Acleris forbesana McDunnough, 1934	5
Acleris forsskaleana Linnaeus, 1758	1
Acleris fragariana	1
Acleris gloveranus	1
Acleris H?¬bner, 1825	3
Acleris HÃ¼bner, 1825	13
Acleris holmiana Linnaeus, 1758	1
Acleris hudsoniana	1
Acleris implexana	1
Acleris implexana Walker, 1863	3
Acleris maccana Treitschke, 1835	19
Acleris macdunnoughi	1
Acleris maculidorsana	1
Acleris maximana Barnes & Busck, 1920	1
Acleris minuta	1
Acleris nigrolinea	1
Acleris nigrolinea Robinson, 1869	3
Acleris nivisellana	1
Acleris oxycoccana	1
Acleris ptychogrammos	1
Acleris ptychogrammos Zeller, 1875	1
